cell,assigned,dominant,continent,share,land_frac,verdict,breakdown,rows,images
Antarctica_-25_-80_-20_-75,Antarctica,Antarctica,Antarctica,1.0,0.851,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-20_-80_-15_-75,Antarctica,Antarctica,Antarctica,1.0,0.971,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-15_-80_-10_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-10_-80_-5_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-5_-80_0_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_0_-80_5_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_5_-80_10_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_10_-80_15_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_15_-80_20_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_20_-80_25_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_25_-80_30_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_30_-80_35_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_35_-80_40_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_40_-80_45_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_45_-80_50_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_50_-80_55_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_55_-80_60_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_60_-80_65_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_65_-80_70_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_70_-80_75_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_75_-80_80_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_80_-80_85_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_85_-80_90_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_90_-80_95_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_95_-80_100_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_100_-80_105_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_105_-80_110_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_110_-80_115_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_115_-80_120_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_120_-80_125_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_125_-80_130_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_130_-80_135_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_135_-80_140_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_140_-80_145_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_145_-80_150_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_150_-80_155_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_155_-80_160_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_160_-80_165_-75,Antarctica,Antarctica,Antarctica,1.0,0.518,ocean-label-kept,Antarctica 100%,0,0
